voltmean_24h;rotatemean_24h;pressuremean_24h;vibrationmean_24h;voltsd_24h;rotatesd_24h;pressuresd_24h;vibrationsd_24h;voltmean_5d;rotatemean_5d;pressuremean_5d;vibrationmean_5d;voltsd_5d;rotatesd_5d;pressuresd_5d;vibrationsd_5d
172.35;444.16;97.33;38.77;14.45;49.88;11.94;5.29;172.19;445.20;99.13;40.27;1.82;5.99;1.07;1.03
169.38;445.70;101.34;39.63;14.09;59.40;8.23;4.37;171.72;446.36;99.50;39.91;2.22;5.21;1.47;0.80
171.08;446.98;101.29;39.77;14.07;31.06;10.82;4.81;171.09;444.69;99.93;39.75;1.74;1.88;1.64;0.72
172.52;458.56;98.04;39.77;7.84;48.86;8.90;4.11;171.72;447.46;99.63;39.75;1.52;6.48;1.85;0.72
170.09;451.80;101.16;40.47;13.71;42.36;8.66;5.34;171.08;449.44;99.83;39.68;1.37;5.85;1.98;0.61
169.57;442.02;101.49;39.01;19.11;53.15;11.82;4.89;170.53;449.01;100.67;39.73;1.29;6.38;1.47;0.52
172.31;456.76;101.46;40.52;16.29;36.79;6.15;5.23;171.11;451.22;100.69;39.91;1.31;6.85;1.49;0.62
173.40;442.91;100.96;40.12;16.01;40.99;8.64;5.65;171.58;450.41;100.62;39.98;1.66;7.67;1.46;0.62
168.79;437.26;103.25;38.83;13.26;46.46;10.74;5.61;170.83;446.15;101.66;39.79;1.94;7.93;0.91;0.81
167.53;453.09;98.66;39.71;12.91;53.39;11.26;4.53;170.32;446.41;101.16;39.64;2.46;8.17;1.65;0.72
175.80;466.09;97.74;45.63;10.72;51.42;10.79;7.18;171.56;451.22;100.41;40.96;3.39;11.40;2.22;2.68
166.51;450.10;101.91;49.80;13.09;55.49;10.17;3.79;170.40;449.89;100.50;42.82;4.00;10.97;2.28;4.73
168.14;459.98;104.67;44.75;10.48;63.58;10.44;6.90;169.35;453.31;101.25;43.74;3.70;10.91;2.97;4.51
170.51;440.39;101.26;37.76;15.38;40.72;8.20;5.58;169.70;453.93;100.85;43.53;3.71;9.79;2.76;4.82
175.52;443.44;97.75;42.93;15.44;53.25;14.08;4.75;171.29;452.00;100.67;44.17;4.23;10.89;2.96;4.38
166.69;458.44;104.65;40.84;13.71;60.32;7.48;4.79;169.47;450.47;102.05;43.22;3.74;8.73;2.86;4.50
171.13;454.70;96.91;39.74;12.33;53.08;11.31;4.50;170.40;451.39;101.05;41.21;3.38;8.93;3.68;2.72
167.48;445.53;103.52;40.04;15.10;37.04;8.14;5.01;170.26;448.50;100.82;40.26;3.50;7.71;3.42;1.87
172.73;463.55;99.14;40.02;13.45;48.11;9.42;4.97;170.71;453.13;100.39;40.71;3.67;8.53;3.49;1.31
170.71;463.14;98.04;40.76;16.62;51.72;9.32;3.65;169.75;457.07;100.45;40.28;2.56;7.41;3.43;0.49
164.24;439.23;101.36;40.94;17.18;38.53;11.69;3.95;169.26;453.23;99.79;40.30;3.39;10.75;2.65;0.52
165.15;453.39;98.80;39.67;14.67;56.09;9.94;4.48;168.06;452.97;100.17;40.28;3.61;10.72;2.24;0.54
165.70;442.79;100.23;40.25;17.91;48.42;12.91;4.83;167.70;452.42;99.52;40.33;3.77;11.25;1.30;0.52
177.90;433.64;100.74;46.47;16.24;55.28;10.92;5.19;168.74;446.44;99.84;41.62;5.70;11.79;1.38;2.76
171.88;439.17;99.89;52.63;14.44;43.83;13.70;4.59;168.97;441.65;100.21;43.99;5.83;7.34;0.96;5.54
174.89;473.60;99.79;43.56;13.39;50.46;10.61;6.56;171.10;448.52;99.89;44.52;5.61;15.77;0.71;5.30
181.57;445.24;113.13;39.31;22.85;44.42;15.61;4.54;174.39;446.89;102.76;44.44;6.04;15.56;5.81;5.38
191.77;446.46;129.25;39.65;9.78;50.95;9.68;5.67;179.60;447.62;108.56;44.32;7.69;15.40;12.87;5.50
179.64;450.65;113.41;40.82;19.32;48.38;15.99;5.60;179.95;451.02;111.09;43.19;7.64;13.27;12.17;5.53
168.19;464.37;97.16;40.49;14.37;49.39;9.32;5.75;179.21;456.06;110.55;40.77;8.71;12.40;12.84;1.68
169.51;448.89;100.27;39.65;12.81;41.80;9.89;4.07;178.14;451.12;110.65;39.98;9.66;7.70;12.74;0.64
167.58;469.21;98.36;38.09;17.71;50.17;11.80;5.82;175.34;455.91;107.69;39.74;10.41;10.18;13.70;1.06
176.38;441.60;98.57;40.21;12.47;47.40;10.04;4.65;172.26;454.94;101.56;39.85;5.42;11.46;6.72;1.07
167.39;447.35;102.95;41.18;14.28;52.83;10.07;4.67;169.81;454.28;99.46;39.93;3.76;11.86;2.24;1.16
164.82;461.31;97.95;41.53;15.91;45.80;12.65;5.92;169.14;453.67;99.62;40.13;4.38;11.27;2.06;1.36
171.93;447.90;101.98;39.50;14.61;30.83;9.40;4.62;169.62;453.47;99.96;40.10;4.56;11.39;2.32;1.38
169.66;453.28;101.88;40.61;15.94;65.24;10.52;3.97;170.04;450.29;100.67;40.61;4.42;7.42;2.24;0.80
168.21;443.47;99.22;41.45;8.61;42.33;10.52;6.08;168.40;450.66;100.80;40.85;2.64;6.90;2.11;0.84
168.32;460.69;100.73;38.76;15.14;42.42;10.81;3.18;168.59;453.33;100.35;40.37;2.59;7.82;1.74;1.22
167.63;421.50;98.22;40.41;17.56;47.18;12.14;3.84;169.15;445.37;100.41;40.15;1.72;14.81;1.65;1.04
170.11;381.22;101.00;40.09;15.15;54.66;9.16;6.47;168.79;432.03;100.21;40.26;1.05;32.00;1.47;0.98
167.82;423.91;100.27;39.47;12.46;70.16;8.39;4.46;168.42;426.16;99.89;40.04;0.99;29.74;1.15;1.01
167.93;444.63;100.45;39.83;17.53;55.96;12.28;4.54;168.36;426.39;100.13;39.71;1.01;29.91;1.10;0.63
172.22;454.29;97.40;41.48;14.99;48.05;9.07;4.17;169.14;425.11;99.47;40.26;1.99;28.16;1.56;0.77
170.91;454.29;103.06;38.53;18.01;42.59;7.20;6.20;169.80;431.67;100.44;39.88;1.91;30.81;2.03;1.07
162.47;446.29;99.54;39.87;13.88;67.10;6.85;5.09;168.27;444.68;100.15;39.83;3.76;12.44;2.03;1.07
171.30;453.05;100.24;41.29;14.71;54.09;9.20;5.32;168.96;450.51;100.14;40.20;3.97;4.67;2.03;1.21
168.75;455.74;98.42;39.72;13.34;45.04;9.83;3.45;169.13;452.73;99.73;40.18;3.94;3.72;2.15;1.22
171.10;440.85;100.38;39.72;13.16;50.68;9.40;4.87;168.90;450.05;100.33;39.82;3.74;6.29;1.71;0.98
167.07;464.12;100.44;39.13;14.53;51.34;9.63;7.27;168.14;452.01;99.80;39.94;3.62;8.93;0.85;0.80
169.81;443.50;95.99;39.64;12.38;53.25;11.05;5.54;169.60;451.45;99.09;39.90;1.75;9.45;1.93;0.82
166.85;457.43;102.24;40.32;13.52;40.91;10.79;5.79;168.71;452.33;99.49;39.71;1.81;9.83;2.38;0.43
171.15;447.37;114.86;39.57;14.63;49.65;16.25;4.05;169.19;450.66;102.78;39.67;2.11;9.82;7.13;0.43
172.63;464.70;125.25;40.20;12.08;51.96;12.11;5.44;169.50;455.43;107.75;39.77;2.53;9.65;12.03;0.49
172.20;478.10;110.55;39.96;17.05;56.06;17.52;5.38;170.53;458.22;109.78;39.94;2.33;13.89;11.32;0.33
171.68;469.46;100.99;38.91;17.08;55.72;8.94;4.30;170.90;463.41;110.78;39.79;2.33;11.69;9.94;0.57
169.35;368.72;101.76;40.85;16.15;83.08;7.75;5.58;171.40;445.67;110.68;39.90;1.28;44.45;10.04;0.72
167.23;308.05;99.91;40.00;16.54;57.80;11.52;5.82;170.62;417.81;107.69;39.99;2.28;75.76;10.69;0.70
170.36;324.41;100.21;40.90;13.83;77.26;11.55;5.46;170.17;389.75;102.68;40.13;1.98;79.91;4.46;0.81
171.74;347.72;103.10;39.90;13.98;47.66;8.91;5.37;170.07;363.67;101.19;40.11;1.87;63.45;1.28;0.82
166.57;422.44;97.01;39.55;18.54;60.57;8.44;4.90;169.05;354.27;100.40;40.24;2.15;44.52;2.29;0.61
165.39;472.97;96.25;39.25;13.96;61.15;10.04;4.51;168.13;421.34;98.73;39.51;2.04;44.28;2.11;0.88
167.54;456.95;101.16;41.19;15.96;43.94;10.41;4.72;167.86;420.81;98.96;39.57;2.00;43.72;2.33;1.01
164.57;463.12;101.95;39.69;17.76;53.86;10.40;4.26;166.71;434.43;99.88;39.55;1.89;44.28;2.44;1.00
170.70;436.93;101.56;40.00;13.62;43.71;10.53;4.79;166.97;448.38;99.88;39.83;2.38;24.26;2.44;0.85
172.32;470.49;98.24;39.49;15.32;54.73;8.95;5.40;168.10;460.09;99.83;39.92;3.34;14.40;2.48;0.76
174.85;464.49;97.20;40.89;12.63;39.90;8.92;4.04;169.99;458.40;100.02;40.25;4.03;12.93;2.15;0.75
167.41;465.81;98.52;40.05;19.36;58.30;9.41;5.58;169.97;460.17;99.49;40.02;4.05;13.28;2.12;0.54
166.32;456.01;99.62;40.13;14.25;36.97;8.95;5.03;170.32;458.75;99.03;40.11;3.50;13.27;1.66;0.50
169.88;436.68;101.93;39.93;15.57;52.42;10.65;3.74;170.15;458.70;99.10;40.10;3.50;13.37;1.80;0.51
173.04;458.39;100.33;39.28;15.87;46.36;11.00;3.64;170.30;456.28;99.52;40.06;3.63;11.69;1.79;0.57
170.10;445.98;100.39;40.05;15.91;46.26;7.30;5.76;169.35;452.58;100.16;39.89;2.62;11.37;1.24;0.35
175.69;454.61;98.66;40.04;18.38;52.82;9.55;4.54;171.00;450.34;100.19;39.89;3.54;8.96;1.20;0.34
166.81;439.33;101.16;40.04;11.18;51.99;10.06;2.97;171.10;447.00;100.49;39.87;3.38;9.41;1.22;0.33
170.44;456.76;102.45;39.50;13.74;46.57;12.12;5.37;171.21;451.02;100.60;39.78;3.34;8.10;1.38;0.37
171.13;462.34;101.05;40.37;15.68;51.81;9.96;3.60;170.83;451.81;100.74;40.00;3.18;9.12;1.38;0.31
172.09;453.79;99.97;39.96;12.66;46.35;11.50;4.96;171.23;453.37;100.66;39.98;3.19;8.53;1.42;0.31
167.56;451.40;99.77;41.52;16.85;39.41;11.05;4.47;169.60;452.73;100.88;40.28;2.30;8.53;1.08;0.76
171.65;459.20;102.11;42.69;15.72;32.19;8.34;6.34;170.57;456.70;101.07;40.81;1.79;4.32;1.21;1.29
169.58;423.78;118.63;51.15;15.62;59.37;15.89;5.18;170.40;450.10;104.31;43.14;1.85;15.34;8.06;4.60
171.04;437.88;124.03;49.27;16.95;51.01;9.08;6.18;170.38;445.21;108.90;44.92;1.84;14.32;11.54;4.97
168.91;444.25;106.08;39.80;15.79;46.07;14.72;4.51;169.75;443.30;110.12;44.89;1.64;13.51;10.65;5.01
168.74;438.14;100.34;39.51;16.60;33.72;9.34;6.63;169.98;440.65;110.24;44.49;1.30;12.80;10.51;5.41
169.90;456.64;97.55;38.96;9.95;41.33;9.97;4.18;169.63;440.14;109.33;43.74;0.92;11.89;11.54;5.95
171.81;449.51;94.90;42.32;11.16;50.49;9.34;4.37;170.08;445.28;104.58;41.97;1.34;7.96;11.64;4.28
169.57;457.74;101.55;39.41;17.53;57.97;7.78;4.80;169.79;449.25;100.08;40.00;1.23;8.29;4.23;1.33
170.47;448.31;99.93;40.20;18.04;59.06;8.10;5.46;170.10;450.07;98.85;40.08;1.15;7.87;2.64;1.33
174.56;437.29;100.12;41.16;16.05;43.16;8.96;6.12;171.26;449.90;98.81;40.41;2.03;8.19;2.62;1.36
169.48;457.47;98.45;39.57;15.87;55.87;8.47;4.23;171.18;450.06;98.99;40.53;2.11;8.37;2.54;1.22
170.57;432.54;100.23;40.10;16.66;51.14;11.92;4.77;170.93;446.67;100.06;40.09;2.09;11.51;1.10;0.69
168.25;437.36;98.87;39.44;13.25;53.04;8.31;5.99;170.67;442.59;99.52;40.10;2.37;10.13;0.81;0.68
171.42;455.04;99.42;41.52;13.72;43.77;10.96;5.00;170.86;443.94;99.42;40.36;2.39;11.44;0.77;0.94
167.28;443.73;100.11;40.58;10.85;53.41;10.27;6.11;169.40;445.23;99.42;40.24;1.68;10.86;0.77;0.85
174.04;440.33;99.18;38.99;13.49;50.33;9.14;4.36;170.31;441.80;99.56;40.13;2.68;8.47;0.59;0.99
170.35;466.79;99.80;40.01;13.90;41.15;11.47;4.96;170.27;448.65;99.48;40.11;2.67;12.16;0.49;0.99
