principal component 1;principal component 2;model;age;Risk
-11.42879545;0.415931828;model3;18;intermediate
0.489015086;-5.459665409;model3;18;intermediate
-14.4796521;3.656293756;model3;18;intermediate
-1.587971285;-4.239221622;model3;18;intermediate
-9.35982158;-3.573656204;model3;18;intermediate
-5.898133657;-4.790541875;model3;18;intermediate
-4.943348704;-6.426763139;model3;18;intermediate
-10.43015662;-3.537011527;model3;18;intermediate
-10.38705878;-5.547428234;model3;18;intermediate
-0.183141225;-8.588216401;model3;18;intermediate
-22.61875309;6.401040805;model3;18;high
4.765336971;-7.469267133;model3;18;high
-11.54331239;1.995190508;model3;18;high
4.72557421;-4.409743107;model3;18;high
-17.58635437;5.994959739;model3;18;high
-23.97847787;9.737103661;model3;18;high
5.021081393;-7.877556763;model3;18;high
-16.11253026;3.858833036;model3;18;high
17.17970437;-10.1457747;model3;18;high
11.50412408;-2.007287253;model3;18;high
-2.199029699;5.405040988;model3;18;high
-6.730829717;6.00033765;model3;18;high
-8.868918743;7.206352314;model3;18;high
-0.759275139;-4.536433616;model3;18;high
-2.877780674;-7.48777206;model3;18;high
-1.981143355;-6.169951229;model3;18;high
13.62821311;34.93891211;model4;7;intermediate
27.42790135;27.65716994;model4;7;intermediate
8.884617887;28.20969355;model4;7;intermediate
-8.651331429;8.437571224;model4;7;intermediate
-1.994886258;-4.965308111;model4;7;intermediate
-3.531116552;-3.275334981;model4;7;intermediate
-2.639421;-6.674736393;model4;7;intermediate
-12.87770394;-1.049898588;model4;7;intermediate
-18.05235804;2.116374912;model4;7;intermediate
-2.330959554;-6.708163466;model4;7;intermediate
5.270503271;-8.124429857;model4;7;intermediate
-17.65068797;3.93611858;model4;7;intermediate
-16.57598676;2.586346269;model4;7;intermediate
-16.77270786;2.660799722;model4;7;intermediate
6.439102511;-8.066842265;model4;7;high
6.219835302;-7.177387792;model4;7;high
-5.587825644;-0.206969345;model4;7;high
-12.94657628;4.955975388;model4;7;high
6.557672062;-4.545745296;model4;7;high
-4.349343575;-0.775118396;model4;7;high
-10.95777568;-0.126970134;model4;7;high
-8.713463255;-2.845086943;model4;7;high
107.5626568;-20.89740315;model4;7;high
99.33221837;2.871923179;model4;7;high
19.99358373;51.25848232;model4;7;high
42.06233654;38.89451274;model4;7;high
31.37572324;45.59842004;model4;7;high
70.9054824;4.577477467;model4;7;high
88.68176939;-8.423878936;model4;7;high
42.52968365;21.65426169;model4;7;high
21.30275277;33.86217097;model3;8;low
18.87912289;33.72163553;model3;8;low
17.13478736;17.22909863;model3;8;low
-6.268900445;5.504927607;model3;8;low
-19.69715843;5.727090545;model3;8;low
-17.75756968;1.888784709;model3;8;low
-19.50694836;0.921326641;model3;8;low
-16.6144126;-8.624274116;model3;8;low
-0.252585859;-11.34486195;model3;8;low
20.99983585;-11.07152712;model3;8;low
7.624803511;-0.139746164;model3;8;low
-7.164990441;7.274593817;model3;8;low
4.539606976;2.342442011;model3;8;low
5.129685282;0.519690983;model3;8;low
0.178654595;-4.427666189;model3;8;low
-1.159917937;-4.73188887;model3;8;low
-4.75002527;-5.345586828;model3;8;low
-12.92275762;1.897961448;model3;8;low
-8.581003007;-3.264020337;model3;8;low
0.910485395;-7.611326379;model3;8;low
-13.57817267;-1.248039363;model3;8;low
-0.851737561;-7.356290706;model3;8;low
6.129172481;-7.467439323;model3;8;low
-6.928806882;0.771937561;model3;8;low
-18.98742839;6.456917379;model3;8;low
-4.64516752;-1.230902482;model3;8;low
-13.85198218;1.828635063;model3;8;low
0.615099888;-9.5284402;model3;8;low
0.026706745;-5.975156694;model3;8;low
-12.39140013;1.437783;model3;8;low
-10.02486648;-0.970629607;model3;8;low
-2.606350541;-4.869852921;model3;8;low
-18.75343705;2.231052585;model3;8;low
-20.05228921;-1.022916854;model3;8;low
2.060268156;-9.167757379;model3;8;low
-8.69464724;-1.5226318;model3;8;low
0.212502969;-6.423277427;model3;8;low
11.02192756;-7.087424463;model3;8;low
5.84867852;-4.12211964;model3;8;low
-22.9535327;14.59623829;model3;8;low
1.464885225;0.749006832;model3;8;low
0.576480533;0.858431481;model3;8;low
-5.237323655;-0.325247896;model3;8;low
-19.19245039;3.206244911;model3;8;low
-6.152797388;-4.665621559;model3;8;intermediate
-23.94642129;4.475613071;model3;8;intermediate
0.224678773;-8.434437475;model3;8;intermediate
-3.892610644;-4.807693109;model3;8;intermediate
-16.28956368;2.352553092;model3;8;intermediate
-5.790143822;-4.52363584;model3;8;intermediate
-7.998747213;-1.833322711;model3;8;intermediate
-1.594620452;-7.670322354;model3;8;intermediate
-17.02269914;0.137934336;model3;8;intermediate
22.25245616;-10.96438233;model3;8;intermediate
68.17601932;-13.2005648;model3;8;intermediate
34.34563237;11.21441475;model3;8;intermediate
15.60434847;21.7128996;model3;8;intermediate
6.673602235;26.3611;model3;8;intermediate
4.628085482;23.86707305;model3;8;intermediate
1.97213661;1.019814948;model3;8;high
-9.620324175;-3.848375053;model3;8;high
-13.75930489;-4.474264247;model3;8;high
1.28048736;-8.920500378;model3;8;high
-18.42821566;3.468229007;model3;8;high
-0.29557102;-6.474188772;model3;8;high
-13.27791907;0.240678204;model3;8;high
-3.355154107;-3.877637161;model3;8;high
-19.88223696;2.031660526;model3;8;high
-30.72262411;9.885227276;model3;8;high
-26.16720451;0.974325154;model3;8;high
79.78069815;-20.20969944;model3;8;high
151.1726532;-15.94148394;model3;8;high
150.9183773;12.33590956;model3;8;high
133.5305307;30.0956329;model3;8;high
67.9326696;63.17168607;model3;8;high
-1.462341908;48.11331791;model3;7;low
11.02156444;39.63631476;model3;7;low
1.34427358;34.93403908;model3;7;low
10.81827146;0.786745312;model3;7;low
-24.9520561;5.155845481;model3;7;low
-20.73618464;2.060667409;model3;7;low
-21.0992249;2.045866132;model3;7;low
-13.71399209;-2.379430604;model3;7;low
3.97266609;-12.09796559;model3;7;low
-14.63374968;-0.479007393;model3;7;low
-2.702424744;-4.822523342;model3;7;low
-9.541749933;-0.362200257;model3;7;low
4.911041713;-5.966929145;model3;7;low
-12.36970672;-0.275913199;model3;7;low
-16.73099315;2.794089091;model3;7;low
-10.63063258;-2.976070356;model3;7;low
-8.829558102;-3.90062829;model3;7;low
-18.97721439;-4.914635231;model3;7;low
19.5736827;-12.33604209;model3;7;low
8.509208991;-2.783689119;model3;7;low
3.151588011;1.226713575;model3;7;low
8.258364588;-0.840426225;model3;7;low
-7.12132911;8.56311774;model3;7;low
-3.711906548;-0.516700064;model3;7;low
-11.63286764;1.549160946;model3;7;low
-3.967327575;-4.053178482;model3;7;low
4.473104978;-9.605138052;model3;7;low
-11.85843208;0.951917379;model3;7;low
11.48951255;-8.008525074;model3;7;low
8.624372236;-3.835541105;model3;7;low
-7.230815784;5.146586468;model3;7;low
2.428612787;-1.731183144;model3;7;low
5.642665505;-2.833161211;model3;7;low
-19.05131052;8.735210046;model3;7;low
-5.241919015;-2.332665842;model3;7;low
14.58716868;-7.767419642;model3;7;low
1.576774275;-0.156157603;model3;7;low
-8.537294381;2.6979712;model3;7;low
-10.96463897;3.915941864;model3;7;low
-0.573359072;-1.028965859;model3;7;low
-17.17703268;-0.047981369;model3;7;low
2.668471282;-9.104565958;model3;7;low
-3.602008422;-4.603777581;model3;7;low
-25.73064643;9.976631605;model3;7;low
-1.109780278;-4.469987274;model3;7;low
-14.41592765;4.235549224;model3;7;low
3.126379147;-6.817608855;model3;7;low
-8.393671181;-1.181135778;model3;7;low
-8.032892881;-2.10535293;model3;7;low
1.875208882;-6.795028131;model3;7;low
-7.276079615;-2.092743499;model3;7;low
1.644606991;-7.538125957;model3;7;low
7.604341797;-7.541860047;model3;7;low
-11.76509738;4.799719351;model3;7;low
12.26330985;-6.872585502;model3;7;low
-13.25938203;7.966202214;model3;7;low
-7.126580617;2.531794663;model3;7;low
-19.49765085;5.179246373;model3;7;low
-11.04718399;0.371819389;model3;7;low
-3.478019338;-9.818085737;model3;7;low
-20.35645908;0.829331978;model3;7;low
-7.041641611;-6.386822303;model3;7;low
-15.64980163;-1.238162565;model3;7;low
-7.472292476;-4.853668841;model3;7;low
-17.40997431;-3.181606342;model3;7;low
-8.577907367;-6.906728331;model3;7;low
-15.97782404;-4.025473641;model3;7;low
-5.445227728;-8.118876075;model3;7;low
-19.3116582;-0.691746144;model3;7;low
16.5246903;-10.94396752;model3;7;low
-3.759374888;0.903487752;model3;7;low
-16.23408379;9.428954752;model3;7;low
0.445516136;-0.931043792;model3;7;low
-7.547509847;3.948033269;model3;7;low
-11.67999505;-3.37803211;model3;7;intermediate
0.442595991;-8.031513072;model3;7;intermediate
6.036825947;-7.874004369;model3;7;intermediate
-13.93911951;2.399529316;model3;7;intermediate
-5.9843082;-1.654889069;model3;7;intermediate
-10.13360607;1.293413148;model3;7;intermediate
-5.962276368;-3.819669539;model3;7;intermediate
-9.283516183;-6.426516255;model3;7;intermediate
7.366844958;-10.00744754;model3;7;intermediate
-3.090508028;-3.279961296;model3;7;intermediate
-7.196033188;-0.856855;model3;7;intermediate
-5.951801312;-1.631023242;model3;7;intermediate
2.89516134;-4.898170954;model3;7;intermediate
-13.1307027;-0.687941919;model3;7;intermediate
3.740255337;-7.953803517;model3;7;intermediate
2.202984025;-5.402613671;model3;7;high
17.06788014;-8.360194202;model3;7;high
-10.96842974;7.85167527;model3;7;high
12.4429811;-3.128954691;model3;7;high
-0.135402825;3.895254342;model3;7;high
8.834201156;-1.444118864;model3;7;high
-14.08236217;5.932281321;model3;7;high
53.36684276;-12.59642163;model3;7;high
113.2874824;-13.57053182;model3;7;high
119.3703295;3.419719911;model3;7;high
93.37767085;24.15286731;model3;7;high
39.23880614;53.45658641;model3;7;high
27.99848658;59.76636205;model3;7;high
88.32137445;13.44033623;model3;7;high
108.4391579;-2.151859449;model3;7;high
38.87327542;32.06502516;model3;7;high
-30.94489154;3.103367255;model3;2;low
-12.54363679;-9.350815024;model3;2;low
-22.99247565;-2.489564034;model3;2;low
-10.63485768;-7.419156329;model3;2;low
-6.675286825;-7.337151077;model3;2;low
3.91203482;-8.960803289;model3;2;low
7.358129722;-7.131612922;model3;2;low
-10.0285926;3.124729717;model3;2;low
59.18433612;-13.48016371;model3;2;low
101.0526032;-10.34663336;model3;2;low
53.93346838;20.85535876;model3;2;low
23.3808052;38.68208553;model3;2;low
15.53701542;42.9638631;model3;2;low
2.195183833;41.06536906;model3;2;low
-3.427632021;8.81473447;model3;2;intermediate
-12.15612489;-5.145974047;model3;2;intermediate
-17.36606085;-5.063427949;model3;2;intermediate
-15.34519678;-6.187627741;model3;2;intermediate
-12.92368307;-8.004602109;model3;2;intermediate
-34.42225106;6.929505446;model3;2;intermediate
-17.83867959;-4.534009606;model3;2;intermediate
-1.613803639;-9.016201224;model3;2;intermediate
-16.27172275;0.078785703;model3;2;intermediate
-25.10287214;2.658945609;model3;2;intermediate
-21.01098325;0.062671448;model3;2;intermediate
-4.316909799;-6.946098558;model3;2;intermediate
-11.20353674;-6.337226141;model3;2;intermediate
14.22334175;-10.41211519;model3;2;intermediate
7.443057281;-3.460357744;model3;2;intermediate
1.329341939;-0.82274715;model3;2;high
-13.49706645;9.734901531;model3;2;high
-8.156616217;5.416027015;model3;2;high
-16.51535214;3.025684538;model3;2;high
-28.19118694;3.489422714;model3;2;high
-21.60176947;-6.574588705;model3;2;high
-27.88304797;-3.024089664;model3;2;high
-6.142548793;-11.44310589;model3;2;high
-20.16750962;-3.213210915;model3;2;high
-0.349132475;-9.049454964;model3;2;high
-2.774716214;-3.986159427;model3;2;high
1.798196167;-5.605353412;model3;2;high
6.131494484;-5.379619225;model3;2;high
8.290295934;-7.313857948;model3;2;high
8.83011356;-6.369046138;model3;2;high
2.201428637;-2.558978609;model3;2;high
26.78475734;35.08118137;model3;2;low
27.39542758;33.98004245;model3;2;low
14.2416386;32.23492353;model3;2;low
-8.426519352;1.540849354;model3;2;low
-2.056537809;-3.898771111;model3;2;low
0.513243446;-5.620541335;model3;2;low
-16.21424849;0.082383752;model3;2;low
4.208247397;-7.989004581;model3;2;low
4.114309862;-5.505513951;model3;2;low
4.447605859;-4.355994685;model3;2;low
-7.541097363;1.750646148;model3;2;low
3.938235214;-4.268345639;model3;2;low
5.377941723;-5.091103815;model3;2;low
0.460137518;-3.994510593;model3;2;low
-7.645699353;-1.105049513;model3;2;intermediate
-18.62302764;7.417079383;model3;2;intermediate
-7.931445119;-1.938347059;model3;2;intermediate
-2.817813292;-6.520114081;model3;2;intermediate
9.989452795;-9.209430182;model3;2;intermediate
-8.674085928;1.341431625;model3;2;intermediate
-13.93782294;4.652580925;model3;2;intermediate
-9.543893352;1.671813903;model3;2;intermediate
3.084645432;-5.058377354;model3;2;intermediate
-14.25899741;-1.953629126;model3;2;intermediate
2.679821211;-7.602318045;model3;2;intermediate
-8.937786953;-1.519728852;model3;2;intermediate
-10.6699954;0.578624491;model3;2;intermediate
-18.11533861;0.473769377;model3;2;intermediate
4.141602891;-7.415182744;model3;2;intermediate
-18.87118844;1.263752843;model3;2;high
-14.01226106;-1.575487938;model3;2;high
-24.69736887;4.529211636;model3;2;high
-14.74999771;-2.118489103;model3;2;high
-23.65450144;-4.85566245;model3;2;high
9.284559604;-12.27732322;model3;2;high
-2.65108755;-3.009770376;model3;2;high
-0.791222615;-2.474198812;model3;2;high
1.363940927;-1.746015469;model3;2;high
61.92764853;-13.58200799;model3;2;high
83.0943846;-7.541504314;model3;2;high
53.47919936;14.10808605;model3;2;high
27.87195613;29.1471069;model3;2;high
13.88693275;37.91670672;model3;2;high
25.39629657;21.78472696;model3;2;high
-7.239849255;16.33078514;model3;2;high
-2.569026911;0.516018579;model3;20;intermediate
-3.060659206;-8.705291559;model3;20;intermediate
-2.9202639;-7.216747094;model3;20;intermediate
-7.358617717;-4.834692315;model3;20;intermediate
-17.45090097;2.416145696;model3;20;intermediate
13.76405186;-9.294805891;model3;20;intermediate
9.498657065;-4.261797464;model3;20;intermediate
0.669633606;0.658117237;model3;20;intermediate
-5.909173488;5.285141074;model3;20;intermediate
3.54822179;-0.477115288;model3;20;intermediate
-5.046052415;-0.879543108;model3;20;intermediate
0.560156211;-7.425205038;model3;20;intermediate
-9.574909411;-1.987059454;model3;20;intermediate
-18.41283446;4.05092067;model3;20;intermediate
-16.53181019;-0.216090428;model3;20;high
-3.284033189;-6.538907204;model3;20;high
-21.39213706;0.157177204;model3;20;high
-21.26115657;-1.712813303;model3;20;high
-16.69554399;-4.262159649;model3;20;high
-20.13489738;-2.165674945;model3;20;high
-10.73038367;-10.20718471;model3;20;high
-13.09119627;-7.378855565;model3;20;high
-22.40308114;-1.820814114;model3;20;high
-5.217278734;-8.775662727;model3;20;high
-7.681406628;-5.621815327;model3;20;high
-0.492217542;-7.349312195;model3;20;high
4.842350816;-6.208444608;model3;20;high
36.13471609;-11.47135873;model3;20;high
79.85136817;-12.17695369;model3;20;high
39.25209657;14.27725164;model3;20;high
4.448872291;39.17259306;model3;16;low
14.80109254;32.29402352;model3;16;low
13.36828358;16.73073192;model3;16;low
7.239907028;-7.385911992;model3;16;low
-7.461826259;-0.418998849;model3;16;low
-11.29378073;0.964902014;model3;16;low
12.04929926;-7.274655082;model3;16;low
0.808288023;-0.954181071;model3;16;low
0.491245175;-3.048210958;model3;16;low
0.613811087;-2.49652492;model3;16;low
-5.029438496;0.93625472;model3;16;low
-24.03568568;8.587610834;model3;16;low
-8.748231642;-1.667102197;model3;16;low
-13.09463773;-2.541931682;model3;16;low
4.625911668;-9.540528368;model3;16;low
-2.053263292;-4.566198198;model3;16;low
-4.062661907;-2.994289512;model3;16;low
-10.05681273;0.86246034;model3;16;low
-9.272289547;-0.52057609;model3;16;low
2.811729276;-8.533925178;model3;16;low
12.08909154;-8.970096655;model3;16;low
-4.644907715;0.6013728;model3;16;low
-0.370816377;-1.052948988;model3;16;low
14.43103617;-6.299398205;model3;16;low
-2.049437885;3.034024557;model3;16;low
-13.96291437;6.050690615;model3;16;low
16.1171896;-6.670258335;model3;16;low
-10.02620515;8.819218851;model3;16;low
-5.853587887;0.406499537;model3;16;low
-5.710798706;0.138980014;model3;16;low
4.227967926;-3.485118313;model3;16;low
10.44647507;-8.798316138;model3;16;low
-16.91263346;7.983420264;model3;16;low
-4.119635425;0.969026099;model3;16;low
-14.22222933;5.436892781;model3;16;low
-1.577305067;-3.374768832;model3;16;low
11.51842312;-9.961044934;model3;16;low
-7.618047774;1.457437833;model3;16;low
4.011574163;-3.81837025;model3;16;low
1.718145174;-2.119781177;model3;16;low
-3.169877454;0.646712445;model3;16;low
-3.70817902;-4.028639958;model3;16;low
-7.07280095;-3.120114059;model3;16;low
-3.63013844;-6.426324975;model3;16;low
-9.031512921;-6.457424466;model3;16;low
-0.297901033;-8.566031356;model3;16;low
-10.83817088;-2.256791599;model3;16;low
16.58810264;-9.637571707;model3;16;low
-14.49874591;8.617566339;model3;16;low
7.033843169;-2.599410482;model3;16;low
13.72418711;-3.748007004;model3;16;low
-5.708697431;8.232030494;model3;16;low
7.471919499;-3.205082479;model3;16;low
16.13769499;-6.141296821;model3;16;low
26.04765223;-5.92329861;model3;16;low
27.23780875;-4.039359899;model3;16;low
0.630505685;12.09451756;model3;16;low
0.985732947;10.85371012;model3;16;low
4.276909881;6.457554246;model3;16;low
-10.739051;9.033053937;model3;16;low
-13.07217969;-3.274426174;model3;16;low
-10.64874339;-5.356620159;model3;16;low
-0.860456843;-8.28539605;model3;16;low
-13.98770471;-3.220925604;model3;16;low
-3.270694681;-7.02844721;model3;16;low
-5.003908856;-4.728836669;model3;16;low
-17.7905099;3.838369859;model3;16;low
-23.32670754;2.975244293;model3;16;low
-15.03812705;-2.231411374;model3;16;low
-14.28679255;-6.296294473;model3;16;low
-10.76781452;-8.96936339;model3;16;low
8.488695153;-11.03297472;model3;16;low
-10.48759531;0.815260895;model3;16;low
-1.829959973;-2.811221239;model3;16;low
-20.50148283;9.130372962;model3;16;intermediate
-8.855097964;0.993131673;model3;16;intermediate
-7.511043024;-6.004183059;model3;16;intermediate
-7.920344684;-4.837766324;model3;16;intermediate
-1.897138564;-7.5751565;model3;16;intermediate
-10.27667492;-5.123271319;model3;16;intermediate
-17.37890701;0.902404823;model3;16;intermediate
3.301693825;-8.298442818;model3;16;intermediate
1.787112033;-5.405325203;model3;16;intermediate
-3.188834647;-2.184721666;model3;16;intermediate
-25.88016093;11.55546246;model3;16;intermediate
-24.40550792;10.48473538;model3;16;intermediate
6.726279903;-7.316945691;model3;16;intermediate
-14.23997645;1.274980834;model3;16;intermediate
7.891893897;-7.550146167;model3;16;intermediate
-3.585306302;0.919519505;model3;16;high
-3.520760453;0.576903696;model3;16;high
-7.265502822;-0.397596418;model3;16;high
7.837136632;-6.797469764;model3;16;high
-8.796555524;-1.348696198;model3;16;high
-20.26162315;6.321525177;model3;16;high
-13.65555488;0.609038625;model3;16;high
-4.768553903;-3.345746303;model3;16;high
-10.8733076;-6.280906879;model3;16;high
-13.72272413;-3.987890589;model3;16;high
-20.24895775;-2.040019215;model3;16;high
-10.22852463;-6.664079771;model3;16;high
-11.23795182;-6.860929424;model3;16;high
-2.817543064;-8.952745326;model3;16;high
-14.59892078;-2.027602692;model3;16;high
-10.60685119;-3.811056143;model3;16;high
19.91749251;34.58513145;model4;7;low
23.10983927;32.48447945;model4;7;low
2.786317091;33.5821297;model4;7;low
-10.24701417;1.606010035;model4;7;low
-3.49192567;-5.336069172;model4;7;low
-6.262491466;-5.272506244;model4;7;low
-8.273297329;-5.263837726;model4;7;low
-2.359934759;-7.816320508;model4;7;low
-22.13073999;5.412210657;model4;7;low
-9.463760633;-2.995192712;model4;7;low
-15.05569302;-2.074788036;model4;7;low
-2.707434164;-7.134551356;model4;7;low
2.613673781;-8.281215503;model4;7;low
-8.909717021;-1.198985905;model4;7;low
3.695633072;-6.416594631;model4;7;intermediate
-18.23837026;7.522583329;model4;7;intermediate
-22.63457668;8.301521281;model4;7;intermediate
-9.430248861;-3.374679796;model4;7;intermediate
-4.857756006;-4.954550805;model4;7;intermediate
-4.144540503;-7.405430327;model4;7;intermediate
-27.73654318;7.143482977;model4;7;intermediate
1.048675277;-5.899138589;model4;7;intermediate
6.53890336;-5.579743784;model4;7;intermediate
4.541832376;-2.87887391;model4;7;intermediate
20.54653053;-5.84639021;model4;7;intermediate
0.526263163;2.663408887;model4;7;intermediate
1.944414454;1.184748683;model4;7;intermediate
-2.191435099;2.118338817;model4;7;intermediate
-6.022002944;3.894502202;model4;7;intermediate
-7.77166242;-5.818178017;model4;7;high
-1.385804464;-7.586717351;model4;7;high
-5.402537093;-6.671666075;model4;7;high
2.013767365;-8.233982685;model4;7;high
-20.8029045;8.138256929;model4;7;high
1.136835438;-3.832662735;model4;7;high
6.784297676;-5.354715999;model4;7;high
-11.71424216;4.759011428;model4;7;high
-28.99400096;11.3785129;model4;7;high
-14.20106459;2.910818006;model4;7;high
-20.00431846;2.39215909;model4;7;high
9.365675535;-12.75761523;model4;7;high
4.212981111;-4.547804535;model4;7;high
57.27400346;-13.26588962;model4;7;high
81.24089272;-6.416869333;model4;7;high
35.59412219;21.12044024;model4;7;high
7.057979501;40.71641839;model3;10;low
28.95823459;28.06734425;model3;10;low
21.62031887;18.77715512;model3;10;low
6.090629879;0.978553842;model3;10;low
-7.35454806;4.041007662;model3;10;low
-7.533207168;2.378112292;model3;10;low
-13.96134435;3.6152936;model3;10;low
-10.71704418;-3.5586609;model3;10;low
-18.54505487;-4.550120507;model3;10;low
1.005943052;-10.06427209;model3;10;low
-5.036745991;-5.849059367;model3;10;low
-2.499822485;-5.574656555;model3;10;low
8.947616879;-7.42706507;model3;10;low
-2.315251894;-1.827727116;model3;10;low
-8.112494687;0.408494773;model3;10;low
-14.65822217;4.314514088;model3;10;low
4.545764163;-5.444332006;model3;10;low
-11.44877336;-1.759182605;model3;10;low
-15.32211385;-0.371008397;model3;10;low
-3.1476724;-6.125336996;model3;10;low
-14.29843505;0.613782144;model3;10;low
-5.298332347;-7.671681304;model3;10;low
-13.12241934;-2.505331823;model3;10;low
-4.725202626;-6.402814214;model3;10;low
1.643263817;-7.939419666;model3;10;low
5.801104899;-7.82719827;model3;10;low
-4.68486701;-1.750375445;model3;10;low
-9.142174057;1.094673159;model3;10;low
8.22040314;-6.431415421;model3;10;low
-1.342133098;-1.067689977;model3;10;low
12.6161251;-7.879317325;model3;10;low
6.517459815;-2.592797192;model3;10;low
-3.82455492;2.068202276;model3;10;low
-4.470205218;0.755598675;model3;10;low
5.925931114;-3.731361414;model3;10;low
-10.68329713;1.196539474;model3;10;low
2.402873267;-6.546003861;model3;10;low
-6.288959421;-2.493144121;model3;10;low
-11.97072473;1.26472742;model3;10;low
3.955161287;-7.952143183;model3;10;low
5.373522778;-6.115733237;model3;10;low
-6.990811178;0.180287934;model3;10;low
-5.317149513;-1.015282851;model3;10;low
-10.94700833;1.808679922;model3;10;low
-17.25584206;2.555080221;model3;10;intermediate
-7.371206519;-7.818056837;model3;10;intermediate
6.971434757;-10.07520175;model3;10;intermediate
-0.582604464;-3.628888887;model3;10;intermediate
-9.016405991;0.926864507;model3;10;intermediate
-17.09436745;5.574166907;model3;10;intermediate
-0.87240289;-3.164809722;model3;10;intermediate
-10.9103978;-2.737552462;model3;10;intermediate
-12.41586232;-4.333158359;model3;10;intermediate
-21.60968501;0.462553429;model3;10;intermediate
-16.14648919;-2.640688699;model3;10;intermediate
-8.534016492;-8.725337883;model3;10;intermediate
-11.80345911;-6.72766468;model3;10;intermediate
-18.2003312;-3.761883217;model3;10;intermediate
-8.843559243;-8.010062555;model3;10;intermediate
-14.41932521;-3.562655706;model3;10;high
-8.199926612;-7.688616628;model3;10;high
-16.94050272;-2.707153172;model3;10;high
1.203217711;-9.135712838;model3;10;high
-7.698119067;-3.500644926;model3;10;high
-11.67667013;-1.875519977;model3;10;high
-3.446553232;-5.989394396;model3;10;high
-4.83427791;-3.479211311;model3;10;high
4.165634994;-8.929118012;model3;10;high
-11.86756598;-0.100039078;model3;10;high
-14.85964146;2.145918834;model3;10;high
-0.158760068;-5.417731585;model3;10;high
0.008124061;-4.668423826;model3;10;high
47.79823564;-13.992465;model3;10;high
87.90995264;-11.11228315;model3;10;high
34.28767932;22.39144091;model3;10;high
7.510046484;33.87237325;model2;6;low
19.12427244;27.44993737;model2;6;low
5.483820488;25.91092656;model2;6;low
-8.559149558;8.082932906;model2;6;low
-10.66181882;-5.298010936;model2;6;low
-12.35666942;-4.15894926;model2;6;low
-24.26934138;-0.648173583;model2;6;low
-4.262194527;-9.286106043;model2;6;low
-15.58915129;-2.282134291;model2;6;low
-10.06406287;-5.131697393;model2;6;low
8.723215195;-9.234684052;model2;6;low
-5.634244595;-1.02721392;model2;6;low
22.60970566;-9.124952591;model2;6;low
98.08966865;-17.01245951;model2;6;low
56.83404984;14.86550038;model2;6;low
15.25003334;38.06126206;model2;6;low
24.19928672;32.52336517;model2;6;low
5.11039445;41.32668046;model2;6;low
-6.762078203;13.51744818;model2;6;low
-9.068142704;-4.47501543;model2;6;low
-3.989787024;-6.022559338;model2;6;low
-6.837759887;-7.018380893;model2;6;low
-4.460091952;-6.817170282;model2;6;low
-7.871677254;-6.320000628;model2;6;low
-13.70914013;-1.328418429;model2;6;low
-12.25374231;-3.394609636;model2;6;low
-19.72230304;0.062941007;model2;6;low
-15.21239494;-5.699963556;model2;6;low
-13.29715868;-8.489962217;model2;6;low
5.497633978;-10.55177565;model2;6;low
-14.19381631;0.031813213;model2;6;low
-6.503675345;-3.574156834;model2;6;low
-10.04943655;-0.933534519;model2;6;low
-13.65678905;0.658181194;model2;6;low
-8.354113936;-8.403492872;model2;6;low
-7.882544927;-6.832674851;model2;6;low
-7.94191536;-7.466136576;model2;6;low
