principal component 1;principal component 2;Label
30.46;3.04;InnerFault
31.62;2.01;InnerFault
35.40;2.57;InnerFault
34.98;3.11;InnerFault
20.21;3.00;InnerFault
29.64;0.22;OuterFault
1.60;-1.72;OuterFault
10.81;-1.12;OuterFault
21.00;-0.49;OuterFault
17.37;-1.44;OuterFault
-13.13;-3.44;OuterFault
1.39;-2.57;OuterFault
-7.14;-3.35;OuterFault
-0.83;-2.61;OuterFault
31.70;-0.09;OuterFault
41.57;8.29;InnerFault
36.25;6.63;InnerFault
45.70;6.02;InnerFault
36.58;4.84;InnerFault
45.25;4.28;InnerFault
34.66;3.11;InnerFault
33.88;2.97;InnerFault
33.32;2.48;InnerFault
45.80;2.75;InnerFault
36.99;1.31;InnerFault
-25.16;-4.01;Healthy
-27.10;-4.20;Healthy
-29.93;-4.48;Healthy
-24.57;-4.16;Healthy
-23.04;-4.31;Healthy
-18.82;-4.10;Healthy
-27.25;-4.94;Healthy
-28.71;-5.17;Healthy
-23.44;-4.64;Healthy
-27.87;-4.61;Healthy
6.62;-1.36;OuterFault
13.89;-0.81;OuterFault
22.74;-0.80;OuterFault
0.61;-2.09;OuterFault
0.14;-2.60;OuterFault
-16.23;-3.91;OuterFault
-6.64;-3.34;OuterFault
-20.38;-4.04;OuterFault
-30.53;-4.90;OuterFault
-31.20;-5.22;OuterFault
35.49;2.07;InnerFault
28.29;2.75;InnerFault
32.49;3.71;InnerFault
46.47;5.96;InnerFault
48.15;6.56;InnerFault
38.42;7.59;InnerFault
42.30;7.94;InnerFault
70.38;9.07;InnerFault
45.87;5.45;InnerFault
44.03;4.51;InnerFault
53.53;7.30;InnerFault
38.67;5.30;InnerFault
36.13;3.93;InnerFault
39.25;3.73;InnerFault
36.85;2.63;InnerFault
25.53;2.49;InnerFault
32.89;3.87;InnerFault
37.23;4.74;InnerFault
50.59;6.20;InnerFault
40.94;7.44;InnerFault
-20.70;-3.84;Healthy
-24.77;-4.20;Healthy
-23.92;-4.26;Healthy
-13.57;-3.61;Healthy
-12.92;-3.39;Healthy
-28.54;-4.94;Healthy
-30.76;-5.13;Healthy
-26.67;-4.64;Healthy
-29.71;-4.59;Healthy
-32.11;-4.66;Healthy
-23.76;-4.78;Healthy
-28.31;-4.96;Healthy
-33.76;-5.06;Healthy
-25.52;-4.51;Healthy
-24.68;-3.89;Healthy
-31.03;-4.43;Healthy
-21.99;-3.73;Healthy
-16.84;-3.57;Healthy
-24.47;-3.96;Healthy
-27.94;-4.61;Healthy
-11.40;-3.62;OuterFault
-9.82;-3.47;OuterFault
19.01;-0.89;OuterFault
15.62;-1.31;OuterFault
23.68;-1.02;OuterFault
28.87;-0.26;OuterFault
12.54;-1.75;OuterFault
27.88;0.01;OuterFault
33.13;0.04;OuterFault
16.60;-0.89;OuterFault
33.08;6.80;InnerFault
49.36;6.39;InnerFault
44.93;5.47;InnerFault
37.46;4.10;InnerFault
29.98;3.22;InnerFault
30.83;2.53;InnerFault
38.78;2.19;InnerFault
36.14;1.58;InnerFault
40.74;0.93;InnerFault
46.51;1.03;InnerFault
-23.61;-3.78;Healthy
-16.75;-3.32;Healthy
-24.74;-3.99;Healthy
-24.76;-4.23;Healthy
-24.32;-4.26;Healthy
-22.11;-4.23;Healthy
-29.06;-4.91;Healthy
-28.33;-5.09;Healthy
-30.05;-5.36;Healthy
-30.52;-5.59;Healthy
-39.71;-5.22;OuterFault
-33.34;-4.74;OuterFault
-18.63;-3.50;OuterFault
2.54;-2.14;OuterFault
11.24;-1.52;OuterFault
14.18;-1.08;OuterFault
1.42;-1.91;OuterFault
13.19;-1.30;OuterFault
10.82;-1.09;OuterFault
20.07;-0.56;OuterFault
-14.58;-4.00;OuterFault
8.01;-2.18;OuterFault
7.13;-2.02;OuterFault
44.28;1.09;OuterFault
20.15;-0.89;OuterFault
35.50;0.74;OuterFault
14.47;-0.82;OuterFault
22.82;-0.42;OuterFault
8.10;-1.74;OuterFault
39.76;0.18;OuterFault
12.36;-0.95;OuterFault
6.34;-1.37;OuterFault
16.76;-0.50;OuterFault
7.16;-1.67;OuterFault
18.85;-1.45;OuterFault
-6.33;-2.85;OuterFault
-17.06;-4.08;OuterFault
-8.87;-3.58;OuterFault
-29.06;-5.03;OuterFault
-21.80;-4.87;OuterFault
-21.07;-4.17;OuterFault
-24.46;-4.07;OuterFault
-4.67;-2.87;OuterFault
8.59;-1.56;OuterFault
-8.69;-2.79;OuterFault
10.38;-1.39;OuterFault
19.74;0.09;OuterFault
4.41;-1.67;OuterFault
11.79;-0.82;OuterFault
15.22;-0.22;OuterFault
-164.28;56.02;InnerFault
-163.59;53.45;InnerFault
-162.93;50.96;InnerFault
-161.99;48.65;InnerFault
-160.56;46.48;InnerFault
-158.67;44.46;InnerFault
-157.56;42.41;InnerFault
-154.95;40.60;InnerFault
-151.79;39.01;InnerFault
-147.59;37.58;InnerFault
-25.34;-3.38;BallFault
-28.40;-3.70;BallFault
-23.06;-3.51;BallFault
-24.80;-3.85;BallFault
-25.06;-3.84;BallFault
-31.23;-4.52;BallFault
-23.89;-3.90;BallFault
-24.81;-3.74;BallFault
-25.74;-3.68;BallFault
-21.44;-3.30;BallFault
-23.73;-4.95;Healthy
-21.22;-4.60;Healthy
-22.30;-4.50;Healthy
-23.01;-4.43;Healthy
-26.38;-4.78;Healthy
-32.10;-4.89;Healthy
-23.11;-4.33;Healthy
-26.22;-4.42;Healthy
-29.04;-4.49;Healthy
-26.45;-4.39;Healthy
31.17;1.09;InnerFault
30.72;1.90;InnerFault
19.48;2.08;InnerFault
27.13;3.21;InnerFault
28.46;4.20;InnerFault
36.06;4.88;InnerFault
41.11;6.12;InnerFault
35.45;7.17;InnerFault
32.71;7.48;InnerFault
29.67;7.70;InnerFault
-20.22;-4.14;BallFault
-25.66;-4.19;BallFault
-23.50;-3.68;BallFault
31.81;4.37;BallFault
-24.67;-3.57;BallFault
-22.34;-3.22;BallFault
-27.31;-3.55;BallFault
-23.07;-3.43;BallFault
-26.00;-3.63;BallFault
-22.73;-3.64;BallFault
51.02;2.84;InnerFault
37.57;2.88;InnerFault
38.09;3.82;InnerFault
31.12;3.73;InnerFault
39.30;5.30;InnerFault
51.69;7.00;InnerFault
45.76;7.48;InnerFault
55.55;6.87;InnerFault
38.97;4.81;InnerFault
31.61;3.66;InnerFault
158.31;10.85;BallFault
166.51;11.68;BallFault
197.02;13.19;BallFault
163.96;10.83;BallFault
181.89;10.87;BallFault
184.49;11.24;BallFault
118.09;7.18;BallFault
158.34;9.59;BallFault
161.23;11.37;BallFault
213.89;14.97;BallFault
-16.84;-4.09;OuterFault
-0.50;-2.81;OuterFault
7.84;-1.90;OuterFault
21.66;-1.13;OuterFault
17.56;-1.19;OuterFault
23.38;-0.45;OuterFault
0.37;-1.80;OuterFault
8.96;-1.16;OuterFault
32.19;0.22;OuterFault
6.02;-1.78;OuterFault
-27.60;-3.74;Healthy
-23.87;-3.14;Healthy
-27.90;-3.94;Healthy
-15.06;-3.30;Healthy
-30.19;-4.40;Healthy
-29.92;-4.39;Healthy
-33.07;-4.72;Healthy
-22.36;-4.34;Healthy
-21.08;-4.49;Healthy
-27.35;-5.09;Healthy
-22.37;-4.32;OuterFault
4.41;-2.22;OuterFault
13.88;-1.39;OuterFault
20.02;-1.06;OuterFault
27.69;-0.63;OuterFault
27.31;-0.31;OuterFault
14.27;-1.14;OuterFault
11.48;-1.52;OuterFault
-2.37;-2.58;OuterFault
-5.50;-3.29;OuterFault
-31.22;-2.92;Healthy
-20.53;-2.43;Healthy
-6.58;-1.50;Healthy
-27.52;-3.65;Healthy
-21.12;-3.30;Healthy
-25.44;-4.04;Healthy
-28.79;-4.12;Healthy
-19.12;-3.08;Healthy
-24.13;-3.23;Healthy
-18.81;-2.35;Healthy
-28.51;-5.11;Healthy
-20.28;-4.36;Healthy
-19.27;-3.67;Healthy
-26.49;-4.46;Healthy
-22.29;-3.92;Healthy
-20.35;-3.46;Healthy
-21.59;-3.69;Healthy
-23.36;-3.67;Healthy
-28.04;-4.18;Healthy
-26.07;-4.22;Healthy
41.81;8.84;InnerFault
39.46;6.80;InnerFault
41.86;6.08;InnerFault
35.47;4.78;InnerFault
44.51;4.51;InnerFault
29.30;2.70;InnerFault
37.97;2.96;InnerFault
39.15;3.29;InnerFault
30.96;3.38;InnerFault
32.36;4.28;InnerFault
183.76;11.98;BallFault
235.71;16.24;BallFault
108.39;7.79;BallFault
167.77;9.74;BallFault
-22.33;-4.30;BallFault
-23.39;-4.37;BallFault
-25.59;-4.43;BallFault
-27.43;-4.22;BallFault
11.27;-0.84;BallFault
-26.27;-3.93;BallFault
-25.76;-4.56;BallFault
-30.23;-4.73;BallFault
-23.27;-3.93;BallFault
-23.19;-3.89;BallFault
-26.20;-3.84;BallFault
-21.98;-3.42;BallFault
-23.67;-3.23;BallFault
-26.39;-3.21;BallFault
-27.00;-3.23;BallFault
-24.07;-2.72;BallFault
-28.06;-4.42;BallFault
-26.18;-3.99;BallFault
-27.26;-3.87;BallFault
-26.18;-3.73;BallFault
-28.53;-3.71;BallFault
-23.36;-3.41;BallFault
-26.79;-3.66;BallFault
-28.42;-3.99;BallFault
-32.23;-4.42;BallFault
-26.99;-4.32;BallFault
33.62;1.39;InnerFault
34.87;1.81;InnerFault
30.73;2.47;InnerFault
39.24;3.47;InnerFault
39.36;4.30;InnerFault
32.62;5.03;InnerFault
26.26;5.99;InnerFault
29.39;7.41;InnerFault
27.55;8.07;InnerFault
32.02;9.82;InnerFault
-26.22;-4.54;BallFault
-29.00;-4.47;BallFault
-29.59;-4.23;BallFault
-25.08;-3.82;BallFault
-30.37;-4.07;BallFault
-25.22;-3.66;BallFault
-30.45;-3.71;BallFault
-29.25;-3.44;BallFault
-29.06;-3.02;BallFault
-24.93;-2.86;BallFault
24.26;-0.22;OuterFault
10.87;-1.10;OuterFault
28.91;0.48;OuterFault
30.94;-0.25;OuterFault
-3.62;-2.37;OuterFault
14.25;-1.00;OuterFault
28.13;-0.48;OuterFault
20.24;-0.40;OuterFault
6.77;-1.37;OuterFault
10.44;-1.07;OuterFault
-27.14;-4.11;BallFault
-24.47;-3.85;BallFault
-26.82;-3.83;BallFault
-26.30;-3.48;BallFault
-24.33;-3.34;BallFault
-21.77;-3.15;BallFault
-27.26;-3.79;BallFault
-22.22;-3.56;BallFault
-26.45;-3.81;BallFault
-26.68;-4.11;BallFault
-27.35;-3.04;BallFault
-26.46;-3.10;BallFault
-25.73;-3.44;BallFault
-24.59;-3.38;BallFault
-31.91;-3.97;BallFault
-26.49;-3.93;BallFault
-25.81;-4.26;BallFault
-24.17;-4.29;BallFault
-27.34;-4.83;BallFault
-28.52;-5.23;BallFault
4.34;-1.24;OuterFault
19.98;-0.07;OuterFault
8.01;-1.60;OuterFault
7.02;-1.56;OuterFault
2.57;-2.07;OuterFault
-11.42;-3.12;OuterFault
-20.69;-4.13;OuterFault
-15.33;-4.01;OuterFault
-22.16;-4.15;OuterFault
-32.61;-5.42;OuterFault
-25.19;-3.70;Healthy
-35.43;-4.17;Healthy
-31.20;-4.05;Healthy
-26.90;-4.05;Healthy
-30.78;-4.46;Healthy
-29.83;-4.54;Healthy
-29.03;-4.68;Healthy
-28.74;-4.80;Healthy
-28.80;-4.93;Healthy
-30.21;-5.30;Healthy
40.69;9.29;InnerFault
37.94;8.01;InnerFault
36.81;6.91;InnerFault
59.31;7.06;InnerFault
39.58;4.93;InnerFault
43.98;4.44;InnerFault
31.92;2.88;InnerFault
31.64;2.34;InnerFault
44.52;1.91;InnerFault
45.58;1.44;InnerFault
-29.02;-5.16;Healthy
-27.09;-4.86;Healthy
-26.89;-4.70;Healthy
-28.31;-4.71;Healthy
-21.19;-4.14;Healthy
-30.43;-4.60;Healthy
-27.58;-4.33;Healthy
-26.51;-4.09;Healthy
-18.52;-3.14;Healthy
-26.50;-3.99;Healthy
