principal component 1;principal component 2;age;Risk;model
-0.573359072;-1.028965859;7;low;3
-17.17703268;-0.047981369;7;low;3
2.668471282;-9.104565958;7;low;3
-3.602008422;-4.603777581;7;low;3
-25.73064643;9.976631605;7;low;3
-1.109780278;-4.469987274;7;low;3
-14.41592765;4.235549224;7;low;3
3.126379147;-6.817608855;7;low;3
-8.393671181;-1.181135778;7;low;3
-8.032892881;-2.10535293;7;low;3
1.875208882;-6.795028131;7;low;3
-7.276079615;-2.092743499;7;low;3
1.644606991;-7.538125957;7;low;3
7.604341797;-7.541860047;7;low;3
-11.76509738;4.799719351;7;low;3
12.26330985;-6.872585502;7;low;3
-13.25938203;7.966202214;7;low;3
-7.126580617;2.531794663;7;low;3
-19.49765085;5.179246373;7;low;3
-11.04718399;0.371819389;7;low;3
-3.478019338;-9.818085737;7;low;3
-20.35645908;0.829331978;7;low;3
-7.041641611;-6.386822303;7;low;3
-15.64980163;-1.238162565;7;low;3
-7.472292476;-4.853668841;7;low;3
-17.40997431;-3.181606342;7;low;3
-8.577907367;-6.906728331;7;low;3
-15.97782404;-4.025473641;7;low;3
-5.445227728;-8.118876075;7;low;3
-19.3116582;-0.691746144;7;low;3
16.5246903;-10.94396752;7;low;3
-3.759374888;0.903487752;7;low;3
-16.23408379;9.428954752;7;low;3
0.445516136;-0.931043792;7;low;3
-7.547509847;3.948033269;7;low;3
-11.67999505;-3.37803211;7;low;3
0.442595991;-8.031513072;7;low;3
6.036825947;-7.874004369;7;low;3
-13.93911951;2.399529316;7;low;3
-5.9843082;-1.654889069;7;low;3
-10.13360607;1.293413148;7;low;3
-5.962276368;-3.819669539;7;low;3
-9.283516183;-6.426516255;7;low;3
7.366844958;-10.00744754;7;low;3
-3.090508028;-3.279961296;7;low;3
-7.196033188;-0.856855;7;low;3
-5.951801312;-1.631023242;7;low;3
2.89516134;-4.898170954;7;low;3
-13.1307027;-0.687941919;7;low;3
3.740255337;-7.953803517;7;low;3
2.202984025;-5.402613671;7;low;3
17.06788014;-8.360194202;7;low;3
-10.96842974;7.85167527;7;low;3
12.4429811;-3.128954691;7;low;3
-0.135402825;3.895254342;7;low;3
8.834201156;-1.444118864;7;low;3
-14.08236217;5.932281321;7;low;3
53.36684276;-12.59642163;7;low;3
113.2874824;-13.57053182;7;low;3
119.3703295;3.419719911;7;low;3
93.37767085;24.15286731;7;low;3
39.23880614;53.45658641;7;high;3
27.99848658;59.76636205;7;high;3
88.32137445;13.44033623;7;high;3
108.4391579;-2.151859449;7;high;3
38.87327542;32.06502516;7;high;3
-30.94489154;3.103367255;2;low;3
-12.54363679;-9.350815024;2;low;3
-22.99247565;-2.489564034;2;low;3
-10.63485768;-7.419156329;2;low;3
-6.675286825;-7.337151077;2;low;3
3.91203482;-8.960803289;2;low;3
7.358129722;-7.131612922;2;low;3
-10.0285926;3.124729717;2;low;3
59.18433612;-13.48016371;2;low;3
101.0526032;-10.34663336;2;low;3
53.93346838;20.85535876;2;low;3
23.3808052;38.68208553;2;low;3
15.53701542;42.9638631;2;low;3
2.195183833;41.06536906;2;low;3
-3.427632021;8.81473447;2;low;3
-12.15612489;-5.145974047;2;low;3
-17.36606085;-5.063427949;2;low;3
-15.34519678;-6.187627741;2;low;3
-12.92368307;-8.004602109;2;low;3
-34.42225106;6.929505446;2;low;3
-17.83867959;-4.534009606;2;low;3
-1.613803639;-9.016201224;2;low;3
-16.27172275;0.078785703;2;low;3
-25.10287214;2.658945609;2;low;3
-21.01098325;0.062671448;2;low;3
-4.316909799;-6.946098558;2;low;3
-11.20353674;-6.337226141;2;low;3
14.22334175;-10.41211519;2;low;3
7.443057281;-3.460357744;2;low;3
1.329341939;-0.82274715;2;low;3
-13.49706645;9.734901531;2;low;3
-8.156616217;5.416027015;2;low;3
-16.51535214;3.025684538;2;low;3
-28.19118694;3.489422714;2;low;3
-21.60176947;-6.574588705;2;low;3
-27.88304797;-3.024089664;2;low;3
-6.142548793;-11.44310589;2;low;3
-20.16750962;-3.213210915;2;low;3
-0.349132475;-9.049454964;2;low;3
-2.774716214;-3.986159427;2;low;3
1.798196167;-5.605353412;2;high;3
6.131494484;-5.379619225;2;high;3
8.290295934;-7.313857948;2;high;3
8.83011356;-6.369046138;2;high;3
2.201428637;-2.558978609;2;high;3
26.78475734;35.08118137;2;low;3
27.39542758;33.98004245;2;low;3
14.2416386;32.23492353;2;low;3
-8.426519352;1.540849354;2;low;3
-2.056537809;-3.898771111;2;low;3
0.513243446;-5.620541335;2;low;3
-16.21424849;0.082383752;2;low;3
4.208247397;-7.989004581;2;low;3
4.114309862;-5.505513951;2;low;3
4.447605859;-4.355994685;2;low;3
-7.541097363;1.750646148;2;low;3
3.938235214;-4.268345639;2;low;3
5.377941723;-5.091103815;2;low;3
0.460137518;-3.994510593;2;low;3
-7.645699353;-1.105049513;2;low;3
-18.62302764;7.417079383;2;low;3
-7.931445119;-1.938347059;2;low;3
-2.817813292;-6.520114081;2;low;3
9.989452795;-9.209430182;2;low;3
-8.674085928;1.341431625;2;low;3
-13.93782294;4.652580925;2;low;3
-9.543893352;1.671813903;2;low;3
3.084645432;-5.058377354;2;low;3
-14.25899741;-1.953629126;2;low;3
2.679821211;-7.602318045;2;low;3
-8.937786953;-1.519728852;2;low;3
-10.6699954;0.578624491;2;low;3
-18.11533861;0.473769377;2;low;3
4.141602891;-7.415182744;2;low;3
-18.87118844;1.263752843;2;low;3
-14.01226106;-1.575487938;2;low;3
-24.69736887;4.529211636;2;low;3
-14.74999771;-2.118489103;2;low;3
-23.65450144;-4.85566245;2;low;3
9.284559604;-12.27732322;2;low;3
-2.65108755;-3.009770376;2;low;3
-0.791222615;-2.474198812;2;low;3
1.363940927;-1.746015469;2;low;3
61.92764853;-13.58200799;2;low;3
83.0943846;-7.541504314;2;low;3
53.47919936;14.10808605;2;high;3
27.87195613;29.1471069;2;high;3
13.88693275;37.91670672;2;high;3
25.39629657;21.78472696;2;high;3
-7.239849255;16.33078514;2;high;3
-2.569026911;0.516018579;20;low;3
-3.060659206;-8.705291559;20;low;3
-2.9202639;-7.216747094;20;low;3
-7.358617717;-4.834692315;20;low;3
-17.45090097;2.416145696;20;low;3
13.76405186;-9.294805891;20;low;3
9.498657065;-4.261797464;20;low;3
0.669633606;0.658117237;20;low;3
-5.909173488;5.285141074;20;low;3
3.54822179;-0.477115288;20;low;3
-5.046052415;-0.879543108;20;low;3
0.560156211;-7.425205038;20;low;3
-9.574909411;-1.987059454;20;low;3
-18.41283446;4.05092067;20;low;3
-16.53181019;-0.216090428;20;low;3
-3.284033189;-6.538907204;20;low;3
-21.39213706;0.157177204;20;low;3
-21.26115657;-1.712813303;20;low;3
-16.69554399;-4.262159649;20;low;3
-20.13489738;-2.165674945;20;low;3
-10.73038367;-10.20718471;20;low;3
-13.09119627;-7.378855565;20;low;3
-22.40308114;-1.820814114;20;low;3
-5.217278734;-8.775662727;20;low;3
-7.681406628;-5.621815327;20;low;3
-0.492217542;-7.349312195;20;high;3
4.842350816;-6.208444608;20;high;3
36.13471609;-11.47135873;20;high;3
79.85136817;-12.17695369;20;high;3
39.25209657;14.27725164;20;high;3
4.448872291;39.17259306;16;low;3
14.80109254;32.29402352;16;low;3
13.36828358;16.73073192;16;low;3
7.239907028;-7.385911992;16;low;3
-7.461826259;-0.418998849;16;low;3
-11.29378073;0.964902014;16;low;3
12.04929926;-7.274655082;16;low;3
0.808288023;-0.954181071;16;low;3
0.491245175;-3.048210958;16;low;3
0.613811087;-2.49652492;16;low;3
-5.029438496;0.93625472;16;low;3
-24.03568568;8.587610834;16;low;3
-8.748231642;-1.667102197;16;low;3
-13.09463773;-2.541931682;16;low;3
4.625911668;-9.540528368;16;low;3
-2.053263292;-4.566198198;16;low;3
-4.062661907;-2.994289512;16;low;3
-10.05681273;0.86246034;16;low;3
-9.272289547;-0.52057609;16;low;3
2.811729276;-8.533925178;16;low;3
12.08909154;-8.970096655;16;low;3
-4.644907715;0.6013728;16;low;3
-0.370816377;-1.052948988;16;low;3
14.43103617;-6.299398205;16;low;3
-2.049437885;3.034024557;16;low;3
-13.96291437;6.050690615;16;low;3
16.1171896;-6.670258335;16;low;3
-10.02620515;8.819218851;16;low;3
-5.853587887;0.406499537;16;low;3
-5.710798706;0.138980014;16;low;3
4.227967926;-3.485118313;16;low;3
10.44647507;-8.798316138;16;low;3
-16.91263346;7.983420264;16;low;3
-4.119635425;0.969026099;16;low;3
-14.22222933;5.436892781;16;low;3
-1.577305067;-3.374768832;16;low;3
11.51842312;-9.961044934;16;low;3
-7.618047774;1.457437833;16;low;3
4.011574163;-3.81837025;16;low;3
1.718145174;-2.119781177;16;low;3
-3.169877454;0.646712445;16;low;3
-3.70817902;-4.028639958;16;low;3
-7.07280095;-3.120114059;16;low;3
-3.63013844;-6.426324975;16;low;3
-9.031512921;-6.457424466;16;low;3
-0.297901033;-8.566031356;16;low;3
-10.83817088;-2.256791599;16;low;3
16.58810264;-9.637571707;16;low;3
-14.49874591;8.617566339;16;low;3
7.033843169;-2.599410482;16;low;3
13.72418711;-3.748007004;16;low;3
-5.708697431;8.232030494;16;low;3
7.471919499;-3.205082479;16;low;3
16.13769499;-6.141296821;16;low;3
26.04765223;-5.92329861;16;low;3
27.23780875;-4.039359899;16;low;3
0.630505685;12.09451756;16;low;3
0.985732947;10.85371012;16;low;3
4.276909881;6.457554246;16;low;3
-10.739051;9.033053937;16;low;3
-13.07217969;-3.274426174;16;low;3
-10.64874339;-5.356620159;16;low;3
-0.860456843;-8.28539605;16;low;3
-13.98770471;-3.220925604;16;low;3
-3.270694681;-7.02844721;16;low;3
-5.003908856;-4.728836669;16;low;3
-17.7905099;3.838369859;16;low;3
-23.32670754;2.975244293;16;low;3
-15.03812705;-2.231411374;16;low;3
-14.28679255;-6.296294473;16;low;3
-10.76781452;-8.96936339;16;low;3
8.488695153;-11.03297472;16;low;3
-10.48759531;0.815260895;16;low;3
-1.829959973;-2.811221239;16;low;3
-20.50148283;9.130372962;16;low;3
-8.855097964;0.993131673;16;low;3
-7.511043024;-6.004183059;16;low;3
-7.920344684;-4.837766324;16;low;3
-1.897138564;-7.5751565;16;low;3
-10.27667492;-5.123271319;16;low;3
-17.37890701;0.902404823;16;low;3
3.301693825;-8.298442818;16;low;3
1.787112033;-5.405325203;16;low;3
-3.188834647;-2.184721666;16;low;3
-25.88016093;11.55546246;16;low;3
-24.40550792;10.48473538;16;low;3
6.726279903;-7.316945691;16;low;3
-14.23997645;1.274980834;16;low;3
7.891893897;-7.550146167;16;low;3
-3.585306302;0.919519505;16;low;3
-3.520760453;0.576903696;16;low;3
-7.265502822;-0.397596418;16;low;3
7.837136632;-6.797469764;16;low;3
-8.796555524;-1.348696198;16;low;3
-20.26162315;6.321525177;16;low;3
-13.65555488;0.609038625;16;low;3
-4.768553903;-3.345746303;16;low;3
-10.8733076;-6.280906879;16;low;3
-13.72272413;-3.987890589;16;low;3
-20.24895775;-2.040019215;16;low;3
-10.22852463;-6.664079771;16;high;3
-11.23795182;-6.860929424;16;high;3
-2.817543064;-8.952745326;16;high;3
-14.59892078;-2.027602692;16;high;3
-10.60685119;-3.811056143;16;high;3
19.91749251;34.58513145;7;low;4
23.10983927;32.48447945;7;low;4
2.786317091;33.5821297;7;low;4
-10.24701417;1.606010035;7;low;4
-3.49192567;-5.336069172;7;low;4
-6.262491466;-5.272506244;7;low;4
-8.273297329;-5.263837726;7;low;4
-2.359934759;-7.816320508;7;low;4
-22.13073999;5.412210657;7;low;4
-9.463760633;-2.995192712;7;low;4
-15.05569302;-2.074788036;7;low;4
-2.707434164;-7.134551356;7;low;4
2.613673781;-8.281215503;7;low;4
-8.909717021;-1.198985905;7;low;4
3.695633072;-6.416594631;7;low;4
-18.23837026;7.522583329;7;low;4
-22.63457668;8.301521281;7;low;4
-9.430248861;-3.374679796;7;low;4
-4.857756006;-4.954550805;7;low;4
-4.144540503;-7.405430327;7;low;4
-27.73654318;7.143482977;7;low;4
1.048675277;-5.899138589;7;low;4
6.53890336;-5.579743784;7;low;4
4.541832376;-2.87887391;7;low;4
20.54653053;-5.84639021;7;low;4
0.526263163;2.663408887;7;low;4
1.944414454;1.184748683;7;low;4
-2.191435099;2.118338817;7;low;4
-6.022002944;3.894502202;7;low;4
-7.77166242;-5.818178017;7;low;4
-1.385804464;-7.586717351;7;low;4
-5.402537093;-6.671666075;7;low;4
2.013767365;-8.233982685;7;low;4
-20.8029045;8.138256929;7;low;4
1.136835438;-3.832662735;7;low;4
6.784297676;-5.354715999;7;low;4
-11.71424216;4.759011428;7;low;4
-28.99400096;11.3785129;7;low;4
-14.20106459;2.910818006;7;low;4
-20.00431846;2.39215909;7;low;4
9.365675535;-12.75761523;7;high;4
4.212981111;-4.547804535;7;high;4
57.27400346;-13.26588962;7;high;4
81.24089272;-6.416869333;7;high;4
35.59412219;21.12044024;7;high;4
7.057979501;40.71641839;10;low;3
28.95823459;28.06734425;10;low;3
21.62031887;18.77715512;10;low;3
6.090629879;0.978553842;10;low;3
-7.35454806;4.041007662;10;low;3
-7.533207168;2.378112292;10;low;3
-13.96134435;3.6152936;10;low;3
-10.71704418;-3.5586609;10;low;3
-18.54505487;-4.550120507;10;low;3
1.005943052;-10.06427209;10;low;3
-5.036745991;-5.849059367;10;low;3
-2.499822485;-5.574656555;10;low;3
8.947616879;-7.42706507;10;low;3
-2.315251894;-1.827727116;10;low;3
-8.112494687;0.408494773;10;low;3
-14.65822217;4.314514088;10;low;3
4.545764163;-5.444332006;10;low;3
-11.44877336;-1.759182605;10;low;3
-15.32211385;-0.371008397;10;low;3
-3.1476724;-6.125336996;10;low;3
-14.29843505;0.613782144;10;low;3
-5.298332347;-7.671681304;10;low;3
-13.12241934;-2.505331823;10;low;3
-4.725202626;-6.402814214;10;low;3
1.643263817;-7.939419666;10;low;3
5.801104899;-7.82719827;10;low;3
-4.68486701;-1.750375445;10;low;3
-9.142174057;1.094673159;10;low;3
8.22040314;-6.431415421;10;low;3
-1.342133098;-1.067689977;10;low;3
12.6161251;-7.879317325;10;low;3
6.517459815;-2.592797192;10;low;3
-3.82455492;2.068202276;10;low;3
-4.470205218;0.755598675;10;low;3
5.925931114;-3.731361414;10;low;3
-10.68329713;1.196539474;10;low;3
2.402873267;-6.546003861;10;low;3
-6.288959421;-2.493144121;10;low;3
-11.97072473;1.26472742;10;low;3
3.955161287;-7.952143183;10;low;3
5.373522778;-6.115733237;10;low;3
-6.990811178;0.180287934;10;low;3
-5.317149513;-1.015282851;10;low;3
-10.94700833;1.808679922;10;low;3
-17.25584206;2.555080221;10;low;3
-7.371206519;-7.818056837;10;low;3
6.971434757;-10.07520175;10;low;3
-0.582604464;-3.628888887;10;low;3
-9.016405991;0.926864507;10;low;3
-17.09436745;5.574166907;10;low;3
-0.87240289;-3.164809722;10;low;3
-10.9103978;-2.737552462;10;low;3
-12.41586232;-4.333158359;10;low;3
-21.60968501;0.462553429;10;low;3
-16.14648919;-2.640688699;10;low;3
-8.534016492;-8.725337883;10;low;3
-11.80345911;-6.72766468;10;low;3
-18.2003312;-3.761883217;10;low;3
-8.843559243;-8.010062555;10;low;3
-14.41932521;-3.562655706;10;low;3
-8.199926612;-7.688616628;10;low;3
-16.94050272;-2.707153172;10;low;3
1.203217711;-9.135712838;10;low;3
-7.698119067;-3.500644926;10;low;3
-11.67667013;-1.875519977;10;low;3
-3.446553232;-5.989394396;10;low;3
-4.83427791;-3.479211311;10;low;3
4.165634994;-8.929118012;10;low;3
-11.86756598;-0.100039078;10;low;3
-14.85964146;2.145918834;10;low;3
-0.158760068;-5.417731585;10;high;3
0.008124061;-4.668423826;10;high;3
47.79823564;-13.992465;10;high;3
87.90995264;-11.11228315;10;high;3
34.28767932;22.39144091;10;high;3
7.510046484;33.87237325;6;low;2
19.12427244;27.44993737;6;low;2
5.483820488;25.91092656;6;low;2
-8.559149558;8.082932906;6;low;2
-10.66181882;-5.298010936;6;low;2
-12.35666942;-4.15894926;6;low;2
-24.26934138;-0.648173583;6;low;2
-4.262194527;-9.286106043;6;low;2
-15.58915129;-2.282134291;6;low;2
-10.06406287;-5.131697393;6;low;2
8.723215195;-9.234684052;6;low;2
-5.634244595;-1.02721392;6;low;2
22.60970566;-9.124952591;6;low;2
98.08966865;-17.01245951;6;low;2
56.83404984;14.86550038;6;low;2
15.25003334;38.06126206;6;low;2
24.19928672;32.52336517;6;low;2
5.11039445;41.32668046;6;low;2
-6.762078203;13.51744818;6;low;2
-9.068142704;-4.47501543;6;low;2
-3.989787024;-6.022559338;6;low;2
-6.837759887;-7.018380893;6;low;2
-4.460091952;-6.817170282;6;low;2
-7.871677254;-6.320000628;6;low;2
-13.70914013;-1.328418429;6;low;2
-12.25374231;-3.394609636;6;low;2
-19.72230304;0.062941007;6;low;2
-15.21239494;-5.699963556;6;low;2
-13.29715868;-8.489962217;6;low;2
5.497633978;-10.55177565;6;low;2
-14.19381631;0.031813213;6;low;2
-6.503675345;-3.574156834;6;low;2
-10.04943655;-0.933534519;6;low;2
-13.65678905;0.658181194;6;low;2
-8.354113936;-8.403492872;6;low;2
-7.882544927;-6.832674851;6;low;2
-7.94191536;-7.466136576;6;low;2
-11.56337801;-5.240586049;6;low;2
-16.66193954;-1.21460617;6;low;2
-12.46176563;-4.58724553;6;low;2
-8.023385949;-7.543627009;6;low;2
-15.95840858;-4.185472229;6;low;2
10.01472513;-11.00653926;6;low;2
-7.442493492;-0.199508306;6;low;2
2.149101008;-4.091198828;6;low;2
19.00938795;-7.134732626;6;low;2
-0.020631567;3.872621148;6;low;2
0.603421057;0.314830963;6;low;2
-6.830101221;4.787696808;6;low;2
-8.870201208;4.054913004;6;low;2
-4.856399446;-6.806923209;6;low;2
3.819735089;-8.957986858;6;low;2
0.01175759;-5.6604751;6;low;2
-13.50473343;1.964891565;6;low;2
2.742729356;-5.139999053;6;low;2
-0.591232617;-2.836680093;6;low;2
-0.486606307;-5.068186487;6;low;2
6.309073533;-6.636397748;6;low;2
-6.417574585;-0.341517521;6;low;2
-2.21158171;-4.028731261;6;low;2
2.695316301;-5.824242078;6;low;2
-12.04555813;3.313493983;6;low;2
-10.27652544;-1.790866049;6;low;2
0.587447753;-6.354129567;6;low;2
-2.450197304;-4.58874256;6;low;2
10.82528819;-9.019108632;6;low;2
-2.721530054;-0.558029749;6;low;2
-12.49755824;5.901593898;6;low;2
-2.012924126;-1.173039661;6;low;2
-4.741110156;-0.064557099;6;low;2
-9.319867905;-4.492336829;6;low;2
-6.767487913;-7.094911812;6;low;2
-13.32713877;-4.361066661;6;low;2
-12.7792123;-5.200094036;6;low;2
-13.06952719;-6.147466675;6;low;2
-9.740192943;-7.628423711;6;low;2
-9.405232621;-8.246851481;6;low;2
-1.569296009;-9.082856768;6;low;2
-4.361227096;-6.644323512;6;low;2
-15.86420284;2.805678635;6;low;2
-9.242976071;-2.765166854;6;low;2
-8.445209589;-3.15138662;6;low;2
10.20275477;-10.05890463;6;low;2
3.604167053;-4.264859726;6;low;2
-8.032647956;2.145109098;6;low;2
5.983679543;-4.203796967;6;low;2
12.64178576;-5.269230896;6;low;2
-0.894850426;-0.500949252;6;low;2
-10.80516803;4.999349639;6;low;2
-6.760232467;2.673877136;6;low;2
1.365150928;-3.893475954;6;low;2
6.028671969;-8.137368796;6;low;2
5.708307568;-5.914570739;6;low;2
-1.472902329;-2.085348569;6;low;2
